facility_id,name,operator,facility_category,landuse,industrial,man_made,power,building,source,longitude,latitude,total_events,active_days,avg_events_per_month,median_events_per_month,active_months,events_per_30_days,mean_frp_mw,median_frp_mw,max_frp_mw,min_frp_mw,mean_thermal_intensity,max_thermal_intensity,most_active_hour,most_active_month,day_events,night_events,weekday_events,weekend_events,mean_distance_km,median_distance_km,max_distance_km,mean_spatial_extent_km,max_spatial_extent_km,mean_duration_hours,median_duration_hours,max_duration_hours,mean_detection_count,median_detection_count,max_detection_count,mean_satellite_count,max_satellite_count,historical_event_observations
927005216,Sriram Food Industries,,INDUSTRIAL_AREA,industrial,,,,,,79.459771,21.150978,45,30,7.5,6.5,6,3.698630136986301,5.820407402222222,4.18,24.98,0.76,51.39538753111111,249.79999,7,2025-12,42,3,30,15,2.886182567777777,2.8272634,4.9530187,0.1739617732,1.5188557,0.0929629626666666,0.0,0.85,1.4222222222222225,1.0,4,1.1111111111111112,2,45
927211048,,,QUARRY,quarry,,,,,,79.844244,24.74218,1,1,1.0,1.0,1,0.0821917808219178,18.09706,18.09706,103.61,18.09706,132.93262,132.93262,6,2026-04,1,0,1,0,3.684139,3.684139,3.684139,2.2143304,2.2143304,1.7166667,1.7166667,1.7166667,17.0,17.0,17,2.0,2,1
927211057,,,QUARRY,quarry,,,,,,79.845784,24.749105,4,4,1.3333333333333333,1.0,3,0.3287671232876712,8.435417,9.4241675,14.43,4.39,49.73054775,62.259483,7,2026-05,4,0,2,2,1.916644725,1.98055465,2.6412911,0.30949597,0.44181904,0.208333325,0.0,0.8333333,2.25,2.5,3,1.25,2,4
928057095,,,INDUSTRIAL_AREA,industrial,,,,,,80.970651,26.707322,3,3,1.0,1.0,3,0.2465753424657534,1.5266666666666666,1.54,2.06,0.98,15.266666,20.599998,7,2025-11,3,0,1,2,3.574901366666667,3.4128718,4.328482,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,3
928057096,,,INDUSTRIAL_AREA,industrial,,,,,,80.980905,26.693857,3,3,1.5,1.5,2,0.2465753424657534,3.624999966666667,3.5149999,5.53,1.83,28.99211133333333,55.300003,8,2026-04,3,0,1,2,3.3301798,2.8953338,4.4198666,0.1418517133333333,0.42555514,0.0,0.0,0.0,1.3333333333333333,1.0,2,1.0,1,3
928075487,,,INDUSTRIAL_AREA,industrial,,,,,,85.210717,20.959367,5,5,1.25,1.0,4,0.410958904109589,3.78600006,3.8,7.51,1.98,41.544796,96.38605,7,2026-01,5,0,2,3,2.37525686,2.113524,3.9947474,0.0476975926,0.21367736,0.16666666,0.0,0.8333333,1.4,1.0,2,1.2,2,5
928075503,,,INDUSTRIAL_AREA,industrial,,,,,,85.105721,20.913784,7,7,1.75,1.5,4,0.5753424657534247,6.341857142857143,4.64,19.65,1.26,63.39889557142857,146.57114,7,2026-02,6,1,5,2,1.9171960857142856,1.5758599,3.5399969,0.1622064434285714,1.1226671,0.1190476142857143,0.0,0.8333333,1.7142857142857142,1.0,5,1.1428571428571428,2,7
928075504,,,QUARRY,quarry,,,,,,85.143392,20.933758,1,1,1.0,1.0,1,0.0821917808219178,2.23,2.23,2.23,2.23,22.3,22.3,7,2026-02,1,0,1,0,0.47293714,0.47293714,0.47293714,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
928075505,Balaram Coal Mine,Mahanadi Coalfields Limited (MCL),QUARRY,quarry,,,,,https://www.gem.wiki/Balaram_coal_mine,85.078767,20.956631,147,103,18.375,13.5,8,12.082191780821919,2.7355975063265308,2.405,9.83,0.46,23.089913437414967,94.799995,19,2026-04,43,104,107,40,1.6614425903401362,1.4604983,4.9204745,0.1371313626938775,0.964247,0.2376417217006802,0.0,0.8833333,1.530612244897959,1.0,5,1.2857142857142858,2,147
928075506,Ananta coal mine,Mahanadi Coalfields Limited (MCL),QUARRY,quarry,,,,,https://www.gem.wiki/Ananta_coal_mine,85.136864,20.966936,676,267,56.333333333333336,64.0,12,55.56164383561644,2.926350708535503,2.31416665,20.92,0.22,22.086498494526627,142.7,19,2026-04,201,475,489,187,1.5132926301183431,1.4902684000000002,4.8362875,0.3405255324497042,3.319507,0.2649901355621302,0.0,1.6833333,2.0961538461538463,1.0,14,1.3076923076923077,2,676
928454754,,,INDUSTRIAL_AREA,industrial,,,,,,77.49454,28.492661,1,1,1.0,1.0,1,0.0821917808219178,2.24,2.24,2.24,2.24,22.4,22.4,7,2026-03,1,0,1,0,0.23302168,0.23302168,0.23302168,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
